customer_id,customer_name,email,country
91,Levi Jenkins,tsanders@yahoo.com,Dominican Republic
92,Erica Bradley,leedaniel@roberts-robinson.com,Paraguay
93,Sean Schaefer,gyoung@smith.biz,Singapore
94,Billy Nolan,ramirezashley@brady.com,Angola
95,Pamela Jennings,david68@gmail.com,Montenegro
96,Brian Perez,angelabaker@hotmail.com,Nicaragua
97,Ronald Booth,sroth@castillo.com,Seychelles
98,Ashley Robertson,ccarpenter@yahoo.com,Antarctica (the territory South of 60 deg S)
99,Steven Robinson,kathryn94@gmail.com,Turkey
100,Thomas Miller,ztorres@yahoo.com,Ghana
